ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Gender,Married,Education,Self_Employed,Property_Area,Loan_Status,Approval_Probability,Risk_Score,Risk_Level_ML,Total_Income,Income_Band,Predicted_Status
5955,5625.0,315.0,1.0,1,1,0,0,2,1,0.7582936140919053,0.24170638590809468,Low Risk,11580.0,,1
2600,1911.0,116.0,0.0,1,1,1,0,1,0,0.1521392173065201,0.8478607826934799,High Risk,4511.0,Medium,0
9560,0.0,191.0,1.0,1,1,0,1,1,1,0.8049916365619173,0.1950083634380827,Low Risk,9560.0,Very High,1
2799,2253.0,122.0,1.0,1,1,0,0,1,1,0.8397086713592881,0.16029132864071194,Low Risk,5052.0,High,1
4226,1040.0,110.0,1.0,1,1,1,0,2,1,0.8307044354816004,0.16929556451839955,Low Risk,5266.0,High,1
1442,0.0,35.0,1.0,1,0,1,0,2,0,0.7495754566858464,0.25042454331415365,Low Risk,1442.0,Low,1
3167,0.0,74.0,1.0,1,0,0,0,2,0,0.7627427050323977,0.23725729496760228,Low Risk,3167.0,Medium,1
4692,0.0,106.0,1.0,1,0,0,1,0,0,0.710718719845465,0.289281280154535,Low Risk,4692.0,Medium,1
3500,1667.0,114.0,1.0,1,1,0,0,1,1,0.8456360625603039,0.15436393743969612,Low Risk,5167.0,High,1
12500,3000.0,320.0,1.0,1,0,0,0,0,0,0.653852070941307,0.34614792905869296,Medium Risk,15500.0,,1
1828,1330.0,100.0,0.0,1,1,0,0,2,0,0.17641192126586117,0.8235880787341389,High Risk,3158.0,Medium,0
3667,1459.0,144.0,1.0,0,1,0,0,1,1,0.8172122453915928,0.18278775460840724,Low Risk,5126.0,High,1
4166,7210.0,184.0,1.0,1,0,0,0,2,1,0.6481525731562849,0.35184742684371506,Medium Risk,11376.0,,1
3748,1668.0,110.0,1.0,1,0,1,0,1,1,0.7110452542445934,0.2889547457554066,Low Risk,5416.0,High,1
3600,0.0,80.0,1.0,1,0,0,0,2,0,0.7609933114881161,0.2390066885118839,Low Risk,3600.0,Medium,1
1800,1213.0,47.0,1.0,1,0,0,0,2,1,0.7594364739884895,0.24056352601151054,Low Risk,3013.0,Medium,1
3941,2336.0,134.0,1.0,1,1,0,0,1,1,0.8365642580522687,0.16343574194773125,Low Risk,6277.0,High,1
4695,0.0,96.0,1.0,1,1,1,1,2,1,0.8058040963385439,0.19419590366145612,Low Risk,4695.0,Medium,1
3410,0.0,88.0,1.0,0,0,0,0,2,1,0.7273578581267367,0.2726421418732633,Low Risk,3410.0,Medium,1
5649,0.0,44.0,1.0,1,1,0,0,2,1,0.8692239425537978,0.13077605744620224,Low Risk,5649.0,High,1
5821,0.0,144.0,1.0,1,1,0,0,2,1,0.8486266011650154,0.15137339883498457,Low Risk,5821.0,High,1
2645,3440.0,120.0,0.0,0,1,0,0,2,0,0.1364262704906342,0.8635737295093658,High Risk,6085.0,High,0
4000,2275.0,144.0,1.0,0,0,0,0,1,1,0.6865924711038707,0.31340752889612933,Medium Risk,6275.0,High,1
1928,1644.0,100.0,1.0,0,1,1,0,1,1,0.8061430696062877,0.19385693039371232,Low Risk,3572.0,Medium,1
3086,0.0,120.0,1.0,0,0,0,0,1,1,0.7192762135428477,0.28072378645715235,Low Risk,3086.0,Medium,1
4230,0.0,112.0,1.0,0,0,0,0,1,0,0.7223324514164443,0.2776675485835557,Low Risk,4230.0,Medium,1
4616,0.0,134.0,1.0,1,1,0,0,2,0,0.850596391603769,0.149403608396231,Low Risk,4616.0,Medium,1
11500,0.0,286.0,0.0,0,1,0,1,2,0,0.10109911642332245,0.8989008835766775,High Risk,11500.0,,0
2708,1167.0,97.0,1.0,1,1,0,0,1,1,0.8525057442083858,0.14749425579161424,Low Risk,3875.0,Medium,1
2132,1591.0,96.0,1.0,1,1,0,0,1,1,0.8498617954233568,0.15013820457664317,Low Risk,3723.0,Medium,1
3366,2200.0,135.0,1.0,1,1,0,0,0,0,0.8391610884332393,0.16083891156676067,Low Risk,5566.0,High,1
8080,2250.0,180.0,1.0,1,1,0,0,2,1,0.8248964803232289,0.17510351967677107,Low Risk,10330.0,,1
3357,2859.0,144.0,1.0,1,1,1,0,2,1,0.8081404883608391,0.19185951163916093,Low Risk,6216.0,High,1
2500,3796.0,120.0,1.0,1,1,0,0,2,1,0.8270885891163896,0.1729114108836104,Low Risk,6296.0,High,1
3029,0.0,99.0,1.0,1,1,0,0,2,1,0.8577596004935711,0.14224039950642886,Low Risk,3029.0,Medium,1
2609,3449.0,165.0,0.0,1,1,1,1,0,0,0.10798126118612437,0.8920187388138756,High Risk,6058.0,High,0
4166,0.0,116.0,0.0,0,0,0,0,1,0,0.08974180079228777,0.9102581992077122,High Risk,4166.0,Medium,0
5726,4595.0,258.0,1.0,1,1,0,0,1,0,0.7871397165258934,0.21286028347410657,Low Risk,10321.0,,1
3200,2254.0,126.0,0.0,1,0,1,0,2,0,0.08030331031739275,0.9196966896826072,High Risk,5454.0,High,0
10750,0.0,312.0,1.0,1,1,0,0,2,1,0.8090948195434151,0.1909051804565849,Low Risk,10750.0,,1
7100,0.0,125.0,1.0,1,1,1,1,2,1,0.7984749850388102,0.2015250149611898,Low Risk,7100.0,High,1
4300,0.0,136.0,0.0,0,0,0,0,1,0,0.08700969115959431,0.9129903088404057,High Risk,4300.0,Medium,0
3208,3066.0,172.0,1.0,1,1,0,0,2,1,0.8197969672490745,0.18020303275092553,Low Risk,6274.0,High,1
1875,1875.0,97.0,1.0,1,1,1,1,1,1,0.7917757470745292,0.20822425292547075,Low Risk,3750.0,Medium,1
3500,0.0,81.0,1.0,1,0,0,0,1,1,0.7633076605058308,0.23669233949416923,Low Risk,3500.0,Medium,1
4755,0.0,95.0,0.0,1,1,1,0,1,0,0.1706600575926375,0.8293399424073625,High Risk,4755.0,Medium,0
5266,1774.0,187.0,1.0,1,1,0,1,1,1,0.7904421880052843,0.20955781199471568,Low Risk,7040.0,High,1
3750,0.0,113.0,1.0,1,0,0,0,2,0,0.7506493457225374,0.2493506542774626,Low Risk,3750.0,Medium,1
3750,4750.0,176.0,1.0,1,0,0,0,2,0,0.6792821659416154,0.3207178340583846,Medium Risk,8500.0,Very High,1
1000,3022.0,110.0,1.0,1,1,0,1,2,0,0.7980768858749709,0.20192311412502906,Low Risk,4022.0,Medium,1
3167,4000.0,180.0,0.0,1,1,0,0,1,0,0.14208508464777625,0.8579149153522238,High Risk,7167.0,High,0
3846,0.0,111.0,1.0,0,0,0,0,1,1,0.7225700602587519,0.2774299397412481,Low Risk,3846.0,Medium,1
1378,1881.0,167.0,1.0,0,1,0,0,2,0,0.8051756886505745,0.19482431134942546,Low Risk,3259.0,Medium,1
3988,0.0,50.0,1.0,1,1,0,0,2,1,0.8677990907257579,0.1322009092742421,Low Risk,3988.0,Medium,1
2366,2531.0,136.0,1.0,1,0,0,0,1,1,0.7202054382360554,0.27979456176394457,Low Risk,4897.0,Medium,1
2500,2118.0,104.0,1.0,1,1,0,0,1,1,0.8446555212365983,0.15534447876340174,Low Risk,4618.0,Medium,1
8566,0.0,210.0,1.0,1,0,0,0,2,1,0.7197524857068073,0.2802475142931927,Low Risk,8566.0,Very High,1
5695,4167.0,175.0,1.0,1,1,0,0,1,1,0.8132439855824678,0.1867560144175322,Low Risk,9862.0,Very High,1
2958,2900.0,131.0,1.0,1,1,0,0,1,1,0.8330878274379564,0.1669121725620436,Low Risk,5858.0,High,1
6250,5654.0,188.0,1.0,1,1,0,0,1,1,0.7979239221441485,0.20207607785585147,Low Risk,11904.0,,1
3273,1820.0,81.0,1.0,1,1,1,0,2,1,0.831833231962648,0.16816676803735198,Low Risk,5093.0,High,1
4133,0.0,122.0,1.0,1,0,0,0,1,1,0.7506086473415439,0.24939135265845613,Low Risk,4133.0,Medium,1
3620,0.0,25.0,1.0,1,0,1,0,1,1,0.7560146149902991,0.2439853850097009,Low Risk,3620.0,Medium,1
2484,2302.0,137.0,1.0,0,1,0,0,1,1,0.8122299993191704,0.1877700006808296,Low Risk,4786.0,Medium,1
1977,997.0,50.0,1.0,1,1,0,0,1,1,0.8632164332081323,0.13678356679186765,Low Risk,2974.0,Medium,1
4188,0.0,115.0,1.0,1,1,1,0,1,1,0.8389082572401813,0.16109174275981875,Low Risk,4188.0,Medium,1
1759,3541.0,131.0,1.0,1,1,0,0,1,1,0.8282242098657606,0.17177579013423938,Low Risk,5300.0,High,1
4288,3263.0,133.0,1.0,1,1,1,0,2,1,0.8080230359191792,0.19197696408082077,Low Risk,7551.0,Very High,1
4843,3806.0,151.0,1.0,1,0,0,0,1,1,0.7021826087292714,0.2978173912707286,Low Risk,8649.0,Very High,1
3052,1030.0,100.0,1.0,1,1,0,0,2,1,0.8509635288885168,0.14903647111148322,Low Risk,4082.0,Medium,1
11417,1126.0,225.0,1.0,1,1,0,0,2,1,0.8228050431307444,0.17719495686925557,Low Risk,12543.0,,1
3800,3600.0,216.0,0.0,1,1,0,0,2,0,0.1355636214611174,0.8644363785388827,High Risk,7400.0,High,0
2071,754.0,94.0,1.0,1,1,1,0,1,1,0.8381189266561716,0.1618810733438284,Low Risk,2825.0,Medium,1
5316,0.0,136.0,1.0,1,0,0,0,2,1,0.7436426758539671,0.25635732414603285,Low Risk,5316.0,High,1
3572,4114.0,152.0,0.0,1,1,1,0,0,0,0.13277664736205175,0.8672233526379483,High Risk,7686.0,Very High,0
14583,0.0,185.0,1.0,1,1,0,0,0,1,0.8448869224114025,0.1551130775885975,Low Risk,14583.0,,1
3167,2283.0,154.0,1.0,0,1,0,0,1,1,0.8080650225431236,0.19193497745687638,Low Risk,5450.0,High,1
5568,2142.0,175.0,1.0,1,1,0,0,0,0,0.830583857848107,0.16941614215189305,Low Risk,7710.0,Very High,1
10408,0.0,259.0,1.0,0,0,0,0,2,1,0.6680135665597042,0.33198643344029577,Medium Risk,10408.0,,1
5667,2667.0,180.0,1.0,1,1,0,0,0,1,0.8255468990444677,0.17445310095553235,Low Risk,8334.0,Very High,1
4166,0.0,44.0,1.0,0,0,0,0,1,1,0.7449579021311528,0.25504209786884724,Low Risk,4166.0,Medium,1
2137,8980.0,137.0,0.0,0,0,0,0,1,1,0.05641187740220599,0.943588122597794,High Risk,11117.0,,0
2957,0.0,81.0,1.0,1,1,0,0,1,1,0.8631851816737351,0.13681481832626485,Low Risk,2957.0,Medium,1
4300,2014.0,194.0,1.0,1,1,1,0,0,1,0.8063814352251514,0.19361856477484862,Low Risk,6314.0,High,1
10513,3850.0,160.0,0.0,1,1,0,1,2,0,0.11851596414370368,0.8814840358562963,High Risk,14363.0,,0
2014,1929.0,74.0,1.0,1,0,0,0,2,1,0.7440341430077192,0.2559658569922808,Low Risk,3943.0,Medium,1
2718,0.0,70.0,1.0,1,0,0,0,1,1,0.7664895142515822,0.23351048574841782,Low Risk,2718.0,Medium,1
3459,0.0,25.0,1.0,1,1,0,1,1,1,0.8445557846423205,0.1554442153576795,Low Risk,3459.0,Medium,1
4895,0.0,102.0,1.0,1,0,0,0,1,1,0.7571262055041313,0.24287379449586866,Low Risk,4895.0,Medium,1
4000,7750.0,290.0,1.0,1,1,0,0,1,0,0.7481328111560839,0.2518671888439161,Low Risk,11750.0,,1
4583,0.0,84.0,1.0,0,1,0,0,0,0,0.8443182385056918,0.15568176149430824,Low Risk,4583.0,Medium,1
3316,3500.0,88.0,1.0,1,1,0,1,2,1,0.8006534533450617,0.19934654665493834,Low Risk,6816.0,High,1
14999,0.0,242.0,0.0,1,0,0,0,1,0,0.08675226931344354,0.9132477306865565,High Risk,14999.0,,0
4200,1430.0,129.0,1.0,1,1,1,0,0,0,0.8274077809433252,0.17259221905667477,Low Risk,5630.0,High,1
5042,2083.0,185.0,1.0,1,1,0,0,0,0,0.828501528430282,0.17149847156971798,Low Risk,7125.0,High,1
5417,0.0,168.0,1.0,1,0,0,0,2,1,0.733132127282601,0.266867872717399,Low Risk,5417.0,High,1
6950,0.0,175.0,1.0,1,0,0,1,1,1,0.6834553502659009,0.3165446497340991,Medium Risk,6950.0,High,1
2698,2034.0,122.0,1.0,1,1,0,0,1,1,0.8412000626283705,0.15879993737162945,Low Risk,4732.0,Medium,1
11757,0.0,187.0,1.0,1,1,0,0,2,1,0.8400498877199192,0.15995011228008083,Low Risk,11757.0,,1
2330,4486.0,100.0,1.0,0,1,0,0,1,1,0.8045773020084372,0.19542269799156275,Low Risk,6816.0,High,1
14866,0.0,70.0,1.0,0,1,0,0,2,1,0.8454416305003387,0.15455836949966129,Low Risk,14866.0,,1
1538,1425.0,30.0,1.0,1,1,0,0,2,1,0.8628488330637818,0.1371511669362182,Low Risk,2963.0,Medium,1
10000,1666.0,225.0,1.0,0,0,0,0,0,0,0.6682294203351001,0.33177057966489987,Medium Risk,11666.0,,1
4860,830.0,125.0,1.0,1,1,0,0,1,1,0.8490148893242282,0.1509851106757718,Low Risk,5690.0,High,1
6277,0.0,118.0,0.0,1,0,0,0,0,0,0.10529223772321249,0.8947077622767875,High Risk,6277.0,High,0
2577,3750.0,152.0,1.0,1,1,0,1,0,1,0.785268783980032,0.21473121601996803,Low Risk,6327.0,High,1
9166,0.0,244.0,1.0,1,0,0,0,2,0,0.7080813823408274,0.2919186176591726,Low Risk,9166.0,Very High,1
2281,0.0,113.0,1.0,1,1,1,0,0,0,0.8409833124848984,0.15901668751510156,Low Risk,2281.0,Low,1
3254,0.0,50.0,1.0,1,0,0,0,2,1,0.7700879630826416,0.2299120369173584,Low Risk,3254.0,Medium,1
39999,0.0,600.0,0.0,1,1,0,0,1,1,0.0946115739661237,0.9053884260338763,High Risk,39999.0,,0
9538,0.0,187.0,1.0,1,1,0,0,2,1,0.8396458858563868,0.16035411414361322,Low Risk,9538.0,Very High,1
4583,5625.0,255.0,1.0,1,1,0,0,1,1,0.7787477079652196,0.22125229203478036,Low Risk,10208.0,,1
1863,1041.0,98.0,1.0,1,1,1,0,1,1,0.835131693837439,0.16486830616256098,Low Risk,2904.0,Medium,1
7933,0.0,275.0,1.0,1,1,0,0,2,0,0.8180814494427892,0.18191855055721085,Low Risk,7933.0,Very High,1
3089,1280.0,121.0,0.0,1,1,0,0,1,0,0.17396766238661382,0.8260323376133862,High Risk,4369.0,Medium,0
4167,1447.0,158.0,1.0,1,1,0,0,0,1,0.8392402932949894,0.1607597067050106,Low Risk,5614.0,High,1
9323,0.0,75.0,1.0,1,1,0,0,2,1,0.863684975108006,0.13631502489199399,Low Risk,9323.0,Very High,1
3707,3166.0,182.0,1.0,1,1,0,0,0,1,0.82093181079258,0.17906818920741996,Low Risk,6873.0,High,1
4583,0.0,112.0,1.0,0,1,0,0,0,0,0.837940266818233,0.16205973318176703,Low Risk,4583.0,Medium,1
2439,3333.0,129.0,1.0,1,1,0,0,0,1,0.8323988219694669,0.1676011780305331,Low Risk,5772.0,High,1
2237,0.0,63.0,0.0,1,0,0,0,1,0,0.1124385932371902,0.8875614067628098,High Risk,2237.0,Low,0
8000,0.0,200.0,1.0,1,1,0,0,1,1,0.8383441288739275,0.1616558711260725,Low Risk,8000.0,Very High,1
3522,0.0,81.0,1.0,1,1,1,0,0,0,0.848359940672062,0.151640059327938,Low Risk,3522.0,Medium,1
5708,5625.0,187.0,1.0,1,1,0,0,1,1,0.7983206139146618,0.2016793860853382,Low Risk,11333.0,,1
4344,736.0,87.0,1.0,1,1,1,1,1,0,0.8044919839695355,0.19550801603046453,Low Risk,5080.0,High,1
3497,1964.0,116.0,1.0,1,1,0,0,0,1,0.8451033040133413,0.15489669598665867,Low Risk,5461.0,High,1
2045,1619.0,101.0,1.0,1,1,0,0,0,1,0.8504383808497438,0.14956161915025623,Low Risk,3664.0,Medium,1
5516,11300.0,495.0,0.0,1,1,0,0,1,0,0.06254956377145461,0.9374504362285454,High Risk,16816.0,,0
3750,0.0,116.0,1.0,1,1,0,0,1,1,0.8561170743787193,0.1438829256212807,Low Risk,3750.0,Medium,1
2333,1451.0,102.0,0.0,1,0,1,0,2,0,0.08649447110023202,0.913505528899768,High Risk,3784.0,Medium,0
6400,7250.0,180.0,0.0,1,1,0,0,2,0,0.12181050075114802,0.8781894992488519,High Risk,13650.0,,0
4600,0.0,73.0,1.0,1,1,0,0,1,1,0.8650476818176743,0.13495231818232567,Low Risk,4600.0,Medium,1
33846,0.0,260.0,1.0,1,1,0,0,1,0,0.8290143248963996,0.1709856751036004,Low Risk,33846.0,,1
3625,0.0,108.0,1.0,0,1,0,0,1,1,0.8367027958589529,0.1632972041410471,Low Risk,3625.0,Medium,1
39147,4750.0,120.0,1.0,1,1,0,1,1,1,0.7916128871382373,0.2083871128617627,Low Risk,43897.0,,1
2178,0.0,66.0,0.0,1,1,0,1,0,0,0.16376932180528372,0.8362306781947163,High Risk,2178.0,Low,0
9328,0.0,188.0,1.0,1,1,0,0,0,1,0.8432777004835778,0.15672229951642225,Low Risk,9328.0,Very High,1
4885,0.0,48.0,1.0,1,0,1,0,0,1,0.7517676279824874,0.24823237201751258,Low Risk,4885.0,Medium,1
12000,0.0,164.0,1.0,1,0,0,0,1,0,0.7390254174595462,0.2609745825404538,Low Risk,12000.0,,1
6033,0.0,160.0,1.0,1,1,1,0,2,0,0.8265402004869923,0.17345979951300772,Low Risk,6033.0,High,1
3858,0.0,76.0,1.0,1,0,0,0,1,1,0.7649313502474466,0.23506864975255337,Low Risk,3858.0,Medium,1
4191,0.0,120.0,1.0,1,0,0,0,0,1,0.7539805985011833,0.24601940149881674,Low Risk,4191.0,Medium,1
3125,2583.0,170.0,1.0,1,1,0,0,1,0,0.8260242805977266,0.1739757194022734,Low Risk,5708.0,High,1
8333,3750.0,187.0,1.0,1,0,0,0,0,1,0.6939287326574806,0.30607126734251944,Medium Risk,12083.0,,1
1907,2365.0,120.0,1.0,0,0,1,0,2,1,0.6609445834681091,0.33905541653189086,Medium Risk,4272.0,Medium,1
11000,0.0,83.0,1.0,1,0,0,1,2,0,0.7145143643671825,0.2854856356328175,Low Risk,11000.0,,1
2600,2500.0,90.0,1.0,1,1,1,0,1,1,0.8266501044742876,0.17334989552571245,Low Risk,5100.0,High,1
4923,0.0,166.0,0.0,1,0,0,0,1,1,0.09638728208632216,0.9036127179136778,High Risk,4923.0,Medium,0
3500,1083.0,135.0,1.0,1,1,1,0,2,1,0.824163620179562,0.17583637982043798,Low Risk,4583.0,Medium,1
3917,0.0,124.0,1.0,1,1,1,0,1,1,0.8367738948825689,0.16322610511743108,Low Risk,3917.0,Medium,1
4408,0.0,120.0,1.0,0,0,1,0,1,1,0.6914882390221424,0.3085117609778576,Medium Risk,4408.0,Medium,1
3244,0.0,80.0,1.0,0,0,0,0,2,1,0.7300097423237727,0.2699902576762273,Low Risk,3244.0,Medium,1
3975,2531.0,55.0,1.0,1,0,1,0,0,1,0.7240768766513742,0.2759231233486258,Low Risk,6506.0,High,1
2479,0.0,59.0,1.0,1,0,0,0,2,1,0.7671728728477357,0.23282712715226428,Low Risk,2479.0,Low,1
3418,0.0,127.0,1.0,1,0,0,0,1,0,0.7488276208071991,0.2511723791928009,Low Risk,3418.0,Medium,1
10000,0.0,214.0,1.0,0,0,0,0,1,0,0.6878279263390533,0.3121720736609467,Medium Risk,10000.0,Very High,1
3430,1250.0,128.0,0.0,1,1,0,0,1,0,0.17254537787136237,0.8274546221286376,High Risk,4680.0,Medium,0
7787,0.0,240.0,1.0,1,1,0,1,2,1,0.78872353941316,0.21127646058684002,Low Risk,7787.0,Very High,1
5703,0.0,130.0,1.0,1,1,1,1,0,1,0.8014830771124578,0.1985169228875422,Low Risk,5703.0,High,1
3173,3021.0,137.0,1.0,1,1,0,0,2,1,0.828765858899916,0.17123414110008395,Low Risk,6194.0,High,1
3850,983.0,100.0,1.0,1,1,1,0,1,1,0.8354428930052153,0.16455710699478465,Low Risk,4833.0,Medium,1
150,1800.0,135.0,1.0,1,1,0,0,0,0,0.8413371029501452,0.1586628970498548,Low Risk,1950.0,Low,1
3727,1775.0,131.0,1.0,1,1,0,0,1,1,0.8411152666641891,0.15888473333581088,Low Risk,5502.0,High,1
2221,0.0,60.0,0.0,1,1,0,0,2,0,0.19722187259882873,0.8027781274011713,High Risk,2221.0,Low,0
4009,1717.0,116.0,1.0,1,1,0,0,1,1,0.8449441186374663,0.15505588136253368,Low Risk,5726.0,High,1
2971,2791.0,144.0,1.0,1,0,0,0,1,1,0.7148983777585234,0.2851016222414766,Low Risk,5762.0,High,1
7578,1010.0,175.0,1.0,1,1,0,0,1,1,0.8370010838770656,0.16299891612293438,Low Risk,8588.0,Very High,1
6250,0.0,128.0,1.0,1,1,0,0,1,1,0.8540011622659687,0.14599883773403133,Low Risk,6250.0,High,1
3250,0.0,170.0,1.0,1,1,0,0,0,0,0.8462230253015814,0.15377697469841856,Low Risk,3250.0,Medium,1
4735,0.0,138.0,1.0,1,1,1,1,2,0,0.7943627870004731,0.20563721299952686,Low Risk,4735.0,Medium,1
6250,1695.0,210.0,1.0,1,1,0,0,1,1,0.8233775539558541,0.1766224460441459,Low Risk,7945.0,Very High,1
6400,0.0,200.0,1.0,1,0,0,1,0,1,0.6772014333605783,0.32279856663942175,Medium Risk,6400.0,High,1
2491,2054.0,104.0,1.0,1,1,0,0,1,1,0.8450851669879552,0.15491483301204478,Low Risk,4545.0,Medium,1
3189,2598.0,120.0,1.0,1,0,1,0,0,1,0.7004530918175254,0.29954690818247465,Low Risk,5787.0,High,1
8333,0.0,280.0,1.0,0,0,0,0,1,1,0.6626693353243308,0.3373306646756692,Medium Risk,8333.0,Very High,1
3155,1779.0,140.0,1.0,1,1,0,0,1,1,0.8389217043989223,0.16107829560107767,Low Risk,4934.0,Medium,1
5500,1260.0,170.0,1.0,1,1,0,0,0,1,0.8380170344777064,0.16198296552229363,Low Risk,6760.0,High,1
3812,0.0,112.0,1.0,0,0,0,0,0,1,0.7251398841986751,0.27486011580132486,Low Risk,3812.0,Medium,1
3315,0.0,96.0,1.0,1,1,0,0,1,1,0.8601954049835895,0.13980459501641052,Low Risk,3315.0,Medium,1
5819,5000.0,120.0,1.0,1,1,0,0,0,1,0.8230195009527614,0.17698049904723856,Low Risk,10819.0,,1
2510,1983.0,140.0,1.0,1,1,1,0,2,0,0.815880251166183,0.184119748833817,Low Risk,4493.0,Medium,1
2965,5701.0,155.0,1.0,1,0,0,0,2,1,0.6761907593017237,0.3238092406982763,Medium Risk,8666.0,Very High,1
6250,1300.0,108.0,1.0,1,1,0,1,0,1,0.8179586752176792,0.18204132478232082,Low Risk,7550.0,Very High,1
3406,4417.0,123.0,1.0,1,1,1,0,1,1,0.8035052144821305,0.19649478551786947,Low Risk,7823.0,Very High,1
6050,4333.0,120.0,1.0,1,0,0,1,2,0,0.6513253516952858,0.3486746483047142,Medium Risk,10383.0,,1
9703,0.0,112.0,1.0,1,1,0,0,2,1,0.8561503305775425,0.14384966942245747,Low Risk,9703.0,Very High,1
6608,0.0,137.0,1.0,1,1,1,0,2,1,0.832198722610494,0.167801277389506,Low Risk,6608.0,High,1
2882,1843.0,123.0,1.0,1,1,0,0,1,1,0.8423141353106025,0.1576858646893975,Low Risk,4725.0,Medium,1
1809,1868.0,90.0,1.0,1,1,0,0,2,1,0.8474139948086701,0.15258600519132992,Low Risk,3677.0,Medium,1
1668,3890.0,201.0,0.0,1,1,1,0,1,0,0.12283743628198764,0.8771625637180124,High Risk,5558.0,High,0
3427,0.0,138.0,1.0,0,0,0,0,2,0,0.710135601112522,0.28986439888747795,Low Risk,3427.0,Medium,1
2583,2167.0,104.0,1.0,1,0,1,1,0,1,0.6575616008114935,0.3424383991885065,Medium Risk,4750.0,Medium,1
2661,7101.0,279.0,1.0,1,1,1,0,1,1,0.73172789432405,0.26827210567594995,Low Risk,9762.0,Very High,1
16250,0.0,192.0,0.0,1,0,0,1,2,0,0.0739698241731661,0.9260301758268339,High Risk,16250.0,,0
3083,0.0,255.0,1.0,0,0,0,0,0,1,0.6737801997045957,0.3262198002954043,Medium Risk,3083.0,Medium,1
6045,0.0,115.0,0.0,1,0,1,0,0,0,0.09359284444508514,0.9064071555549149,High Risk,6045.0,High,0
5250,0.0,94.0,1.0,1,1,0,0,2,0,0.8591605884755988,0.14083941152440116,Low Risk,5250.0,High,1
14683,2100.0,304.0,1.0,1,1,0,0,0,0,0.7996890651187447,0.2003109348812553,Low Risk,16783.0,,1
2060,2209.0,134.0,1.0,1,0,0,0,1,1,0.7241278830246818,0.2758721169753182,Low Risk,4269.0,Medium,1
3481,0.0,155.0,1.0,0,0,0,0,1,0,0.7071830241606726,0.2928169758393274,Low Risk,3481.0,Medium,1
7200,0.0,120.0,1.0,0,0,0,0,0,1,0.7233320032022876,0.27666799679771237,Low Risk,7200.0,High,1
5166,0.0,128.0,1.0,1,0,0,1,1,1,0.7000228456044125,0.2999771543955875,Low Risk,5166.0,High,1
4095,3447.0,151.0,1.0,1,0,0,0,0,1,0.7088415074405169,0.2911584925594831,Low Risk,7542.0,Very High,1
4708,1387.0,150.0,1.0,1,1,0,0,1,1,0.8396241693210932,0.16037583067890682,Low Risk,6095.0,High,1
4333,1811.0,160.0,0.0,1,1,0,0,2,1,0.15916242622120202,0.840837573778798,High Risk,6144.0,High,0
2876,1560.0,90.0,1.0,0,0,0,0,2,1,0.7103171400786307,0.28968285992136933,Low Risk,4436.0,Medium,1
3237,0.0,30.0,1.0,0,0,0,0,2,1,0.7464753087412974,0.2535246912587026,Low Risk,3237.0,Medium,1
11146,0.0,136.0,1.0,1,1,0,0,2,1,0.8512850727992067,0.14871492720079327,Low Risk,11146.0,,1
