Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
LP001448,Male,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Y,23803
LP001449,Male,No,0,Graduate,No,3865,1640,128,360,1,Rural,Y,5505
LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N,14363
LP001465,Male,Yes,0,Graduate,No,6080,2569,182,360,1,Rural,N,8649
LP001469,Male,No,0,Graduate,Yes,20166,0,650,480,1,Urban,Y,20166
LP001473,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y,3943
LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y,2718
LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y,3459
LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y,4895
LP001488,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban,N,11750
LP001489,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N,4583
LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y,6816
LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N,14999
LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N,5630
LP001497,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N,7125
LP001498,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y,5417
LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y,6950
LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y,4732
LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y,11757
LP001514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y,6816
LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y,14866
LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y,2963
LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N,11666
LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y,5690
LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N,6277
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y,6327
LP001531,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N,9166
LP001532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N,2281
LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y,3254
LP001536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Y,39999
LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,1,Rural,Y,6000
LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y,9538
LP001546,Male,No,0,Graduate,No,2980,2083,120,360,1,Rural,Y,5063
LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y,10208
LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y,2904
LP001562,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N,7933
LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N,4369
LP001570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y,5614
LP001572,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y,9323
LP001574,Male,Yes,0,Graduate,No,3707,3166,182,360,1,Rural,Y,6873
LP001577,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N,4583
LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y,5772
LP001579,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N,2237
LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y,8000
LP001581,Male,Yes,0,Not Graduate,No,1820,1769,95,360,1,Rural,Y,3589
LP001585,Male,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Y,51763
LP001586,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N,3522
LP001594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y,11333
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N,5080
LP001606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y,5461
LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y,3664
LP001610,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,N,16816
LP001616,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y,3750
LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N,3784
LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N,13650
LP001634,Male,No,0,Graduate,No,1916,5063,67,360,1,Rural,N,6979
LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y,4600
LP001637,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N,33846
LP001639,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y,3625
LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y,43897
LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N,2178
LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,1,Rural,Y,4521
LP001644,Male,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y,5970
LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y,9328
LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y,4885
LP001656,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N,12000
LP001657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N,6033
LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y,3858
LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y,4191
LP001665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N,5708
LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y,12083
LP001669,Female,No,0,Not Graduate,No,1907,2365,120,360,1,Urban,Y,4272
LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,1,Semiurban,Y,6232
LP001673,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N,11000
LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y,5100
LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y,4923
LP001682,Male,Yes,3+,Not Graduate,No,3992,0,128,180,1,Urban,N,3992
LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y,4583
LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y,3917
LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y,4408
LP001693,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y,3244
LP001698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y,6506
LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y,2479
LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N,3418
LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N,10000
LP001711,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N,4680
LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y,7787
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y,5703
LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y,6194
LP001720,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Y,4833
LP001722,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N,1950
LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y,5502
LP001732,Male,Yes,2,Graduate,No,5000,0,72,360,0,Semiurban,N,5000
LP001734,Female,Yes,2,Graduate,No,4283,2383,127,360,1,Semiurban,Y,6666
LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N,2221
LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y,5726
LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y,5762
LP001749,Male,Yes,0,Graduate,No,7578,1010,175,360,1,Semiurban,Y,8588
LP001750,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y,6250
LP001751,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,N,3250
LP001754,Male,Yes,0,Not Graduate,Yes,4735,0,138,360,1,Urban,N,4735
LP001758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y,7945
LP001760,Male,Yes,0,Graduate,No,4758,0,158,480,1,Semiurban,Y,4758
LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y,6400
LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y,4545
LP001768,Male,Yes,0,Graduate,No,3716,0,42,180,1,Rural,Y,3716
LP001770,Male,No,0,Not Graduate,No,3189,2598,120,360,1,Rural,Y,5787
LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y,8333
LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y,4934
LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y,6760
LP001786,Male,Yes,0,Graduate,No,5746,0,255,360,1,Urban,N,5746
LP001788,Female,No,0,Graduate,Yes,3463,0,122,360,1,Urban,Y,3463
LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y,3812
LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y,3315
LP001798,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y,10819
LP001800,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N,4493
LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y,8666
LP001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y,7550
LP001811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y,7823
LP001813,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,N,10383
LP001814,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Y,9703
LP001819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y,6608
LP001824,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Y,4725
LP001825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Y,3677
LP001835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,N,5558
LP001836,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,N,3427
LP001841,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,Y,4750
LP001843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Y,9762
LP001844,Male,No,0,Graduate,Yes,16250,0,192,360,0,Urban,N,16250
LP001846,Female,No,3+,Graduate,No,3083,0,255,360,1,Rural,Y,3083
LP001849,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,N,6045
LP001854,Male,Yes,3+,Graduate,No,5250,0,94,360,1,Urban,N,5250
LP001859,Male,Yes,0,Graduate,No,14683,2100,304,360,1,Rural,N,16783
LP001864,Male,Yes,3+,Not Graduate,No,4931,0,128,360,1,Semiurban,N,4931
LP001865,Male,Yes,1,Graduate,No,6083,4250,330,360,1,Urban,Y,10333
LP001868,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Y,4269
LP001870,Female,No,1,Graduate,No,3481,0,155,36,1,Semiurban,N,3481
LP001871,Female,No,0,Graduate,No,7200,0,120,360,1,Rural,Y,7200
LP001872,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Y,5166
LP001875,Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,Y,7542
LP001877,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,Y,6095
LP001882,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,Urban,Y,6144
LP001883,Female,No,0,Graduate,No,3418,0,135,360,1,Rural,N,3418
LP001884,Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,Y,4436
LP001888,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Y,3237
LP001891,Male,Yes,0,Graduate,No,11146,0,136,360,1,Urban,Y,11146
LP001892,Male,No,0,Graduate,No,2833,1857,126,360,1,Rural,Y,4690
LP001894,Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,Y,4843
LP001896,Male,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,Y,3900
LP001900,Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,Y,4592
LP001903,Male,Yes,0,Graduate,No,3993,3274,207,360,1,Semiurban,Y,7267
LP001904,Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,Y,4403
LP001907,Male,Yes,0,Graduate,No,14583,0,436,360,1,Semiurban,Y,14583
LP001908,Female,Yes,0,Not Graduate,No,4100,0,124,360,1,Rural,Y,4100
LP001910,Male,No,1,Not Graduate,Yes,4053,2426,158,360,0,Urban,N,6479
LP001914,Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,Y,4727
LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y,3286.799988
LP001917,Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,Y,3477
LP001922,Male,Yes,0,Graduate,No,20667,0,128,360,1,Rural,N,20667
LP001924,Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,Y,6211
LP001925,Female,No,0,Graduate,Yes,2600,1717,99,300,1,Semiurban,N,4317
LP001926,Male,Yes,0,Graduate,No,3704,2000,120,360,1,Rural,Y,5704
LP001931,Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,Y,4124
LP001935,Male,No,0,Graduate,No,9508,0,187,360,1,Rural,Y,9508
LP001936,Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,Y,5491
LP001938,Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,N,4400
LP001940,Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,Y,4713
LP001945,Female,No,0,Graduate,No,5417,0,143,480,0,Urban,N,5417
LP001947,Male,Yes,0,Graduate,No,2383,3334,172,360,1,Semiurban,Y,5717
LP001949,Male,Yes,3+,Graduate,No,4416,1250,110,360,1,Urban,Y,5666
LP001953,Male,Yes,1,Graduate,No,6875,0,200,360,1,Semiurban,Y,6875
LP001954,Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,Y,4666
LP001955,Female,No,0,Graduate,No,5000,2541,151,480,1,Rural,N,7541
LP001963,Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,N,4939
LP001964,Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,Urban,N,4734
LP001972,Male,Yes,0,Not Graduate,No,2875,1750,105,360,1,Semiurban,Y,4625
LP001974,Female,No,0,Graduate,No,5000,0,132,360,1,Rural,Y,5000
LP001977,Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,Y,3428
LP001978,Male,No,0,Graduate,No,4000,2500,140,360,1,Rural,Y,6500
LP001990,Male,No,0,Not Graduate,No,2000,0,128,360,1,Urban,N,2000
LP001993,Female,No,0,Graduate,No,3762,1666,135,360,1,Rural,Y,5428
LP001994,Female,No,0,Graduate,No,2400,1863,104,360,0,Urban,N,4263
LP001996,Male,No,0,Graduate,No,20233,0,480,360,1,Rural,N,20233
LP001998,Male,Yes,2,Not Graduate,No,7667,0,185,360,1,Rural,Y,7667
LP002002,Female,No,0,Graduate,No,2917,0,84,360,1,Semiurban,Y,2917
LP002004,Male,No,0,Not Graduate,No,2927,2405,111,360,1,Semiurban,Y,5332
LP002006,Female,No,0,Graduate,No,2507,0,56,360,1,Rural,Y,2507
LP002008,Male,Yes,2,Graduate,Yes,5746,0,144,84,1,Rural,Y,5746
LP002024,Male,Yes,0,Graduate,No,2473,1843,159,360,1,Rural,N,4316
LP002031,Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,Urban,Y,5039
LP002035,Male,Yes,2,Graduate,No,3717,0,120,360,1,Semiurban,Y,3717
LP002036,Male,Yes,0,Graduate,No,2058,2134,88,360,1,Urban,Y,4192
LP002043,Female,No,1,Graduate,No,3541,0,112,360,1,Semiurban,Y,3541
LP002050,Male,Yes,1,Graduate,Yes,10000,0,155,360,1,Rural,N,10000
LP002051,Male,Yes,0,Graduate,No,2400,2167,115,360,1,Semiurban,Y,4567
